name,author,narrator,time,releasedate,language,stars,price,ratings
Dungeons & Dragons: The Mad Mage's Academy,MattForbeck,"GildartJackson,TimCampbell",135,2020-05-26,English,0.0,1172.0,0.0
Scary Stories for Young Foxes: The City,"ChristianMcKayHeidicker,JunyiWu-illustrator",ChristianMcKayHeidicker,553,2021-09-28,English,0.0,703.0,0.0
Med kunglig stämpel,"JeffreyArcher,MariaNilsson",MagnusSchmitz,29,2022-07-03,swedish,0.0,32.0,0.0
Bolt,"Disney,NilsWadström",FrederickHalbout,141,2022-07-03,swedish,0.0,166.0,0.0
The Tenth Son,"AyanMalpani,AshishMalpani",YohanChacko,257,2022-01-03,English,0.0,186.0,0.0
Escape from Falaise,JohnFlanagan,JohnKeating,457,2021-01-12,English,4.5,797.0,2.0
The Jungle Book,"RudyardKipling,LisaChurch-adaptation",RebeccaK.Reynolds,151,2020-04-08,English,0.0,305.0,0.0
PJ Masks - 3-Minuten-Gutenachtgeschichten,eOne,MontyArnold,31,2022-03-31,german,0.0,99.0,0.0
Opapi-Opapa - Volle Kraft voraus!,PaulMcCartney,KaiLüftner,11,2022-03-29,german,0.0,65.0,0.0
Opapi-Opapa - Besuch von den Krawaffels,PaulMcCartney,KaiLüftner,10,2022-03-29,german,0.0,65.0,0.0
Als Papa auf einen Knopf drückte und wir fast von einem Dino gefressen wurden,NicolasGorny,MartinBaltscheit,90,2022-03-31,german,0.0,300.0,0.0
Spidey og hans fantastiske venner,"Marvel,BrianIskov",MathiasKlenske,8,2022-03-29,danish,0.0,32.0,0.0
Phantom Stallion: Blue Wings,TerriFarley,NatalieBudig,262,2022-03-29,English,0.0,398.0,0.0
Super Pigiamini - Storie della buonanotte da 5 minuti,RaffaellaCasati,StefanPopa,64,2022-03-30,italian,0.0,113.0,0.0
Lost Island,MarcyKateConnolly,ChloeCannon,239,2022-03-29,English,0.0,469.0,0.0
The Boy Who Hatched Monsters,T.C.Shelley,JotDavies,573,2022-03-31,English,0.0,493.0,0.0
